"JG (01)", "15", "16", "44", "67", "78" 
"JG (02)", "22", "37", "49", "53", "76" 
"JG (03)", "04", "33", "51", "58", "62" 
"JG (04)", "05", "13", "14", "26", "71" 
"JG (05)", "28", "29", "40", "43", "69" 
"JG (06)", "08", "31", "50", "74", "77" 
"JG (07)", "10", "19", "24", "59", "66" 
"JG (08)", "01", "21", "39", "56", "68" 
"JG (09)", "11", "18", "36", "55", "79" 
"JG (10)", "02", "07", "23", "42", "75" 
"JG (11)", "03", "09", "17", "38", "41" 
"JG (12)", "25", "47", "46", "64", "72" 
"JG (13)", "06", "12", "27", "30", "45" 
"JG (14)", "32", "61", "70", "73", "80" 
"JG (15)", "20", "34", "52", "57", "65" 
"JG (16)", "35", "48", "54", "60", "63" 
